id, combatant_count, run_number, seconds_taken
0, 3, 0, 0.228
1, 3, 1, 0.056
2, 3, 2, 0.048
3, 3, 3, 0.041
4, 3, 4, 0.047
5, 3, 5, 0.03
6, 3, 6, 0.025
7, 3, 7, 0.039
8, 3, 8, 0.044
9, 3, 9, 0.061
10, 3, 10, 0.029
11, 3, 11, 0.036
12, 3, 12, 0.04
13, 3, 13, 0.023
14, 3, 14, 0.032
15, 3, 15, 0.015
16, 3, 16, 0.02
17, 3, 17, 0.01
18, 3, 18, 0.015
19, 3, 19, 0.014
20, 3, 20, 0.02
21, 3, 21, 0.028
22, 3, 22, 0.017
23, 3, 23, 0.024
24, 3, 24, 0.031
25, 3, 25, 0.015
26, 3, 26, 0.027
27, 3, 27, 0.015
28, 3, 28, 0.013
29, 3, 29, 0.016
30, 3, 30, 0.007
31, 3, 31, 0.009
32, 3, 32, 0.016
33, 3, 33, 0.007
34, 3, 34, 0.01
35, 3, 35, 0.015
36, 3, 36, 0.017
37, 3, 37, 0.011
38, 3, 38, 0.008
39, 3, 39, 0.005
40, 3, 40, 0.004
41, 3, 41, 0.005
42, 3, 42, 0.006
43, 3, 43, 0.006
44, 3, 44, 0.007
45, 3, 45, 0.006
46, 3, 46, 0.008
47, 3, 47, 0.006
48, 3, 48, 0.008
49, 3, 49, 0.007
50, 3, 50, 0.007
51, 3, 51, 0.007
52, 3, 52, 0.005
53, 3, 53, 0.006
54, 3, 54, 0.005
55, 3, 55, 0.006
56, 3, 56, 0.006
57, 3, 57, 0.028
58, 3, 58, 0.022
59, 3, 59, 0.017
60, 3, 60, 0.014
61, 3, 61, 0.01
62, 3, 62, 0.02
63, 3, 63, 0.013
64, 3, 64, 0.007
65, 3, 65, 0.016
66, 3, 66, 0.008
67, 3, 67, 0.01
68, 3, 68, 0.011
69, 3, 69, 0.015
70, 3, 70, 0.017
71, 3, 71, 0.013
72, 3, 72, 0.012
73, 3, 73, 0.012
74, 3, 74, 0.007
75, 3, 75, 0.014
76, 3, 76, 0.009
77, 3, 77, 0.006
78, 3, 78, 0.005
79, 3, 79, 0.004
80, 3, 80, 0.014
81, 3, 81, 0.004
82, 3, 82, 0.009
83, 3, 83, 0.006
84, 3, 84, 0.007
85, 3, 85, 0.005
86, 3, 86, 0.006
87, 3, 87, 0.007
88, 3, 88, 0.003
89, 3, 89, 0.004
90, 3, 90, 0.005
91, 3, 91, 0.006
92, 3, 92, 0.006
93, 3, 93, 0.03
94, 3, 94, 0.046
95, 3, 95, 0.006
96, 3, 96, 0.017
97, 3, 97, 0.02
98, 3, 98, 0.009
99, 3, 99, 0.009
100, 300, 0, 0.379
101, 300, 1, 0.341
102, 300, 2, 0.321
103, 300, 3, 0.303
104, 300, 4, 0.203
105, 300, 5, 0.287
106, 300, 6, 0.249
107, 300, 7, 0.177
108, 300, 8, 0.2
109, 300, 9, 0.199
110, 300, 10, 0.245
111, 300, 11, 0.311
112, 300, 12, 0.178
113, 300, 13, 0.178
114, 300, 14, 0.2
115, 300, 15, 0.182
116, 300, 16, 0.185
117, 300, 17, 0.158
118, 300, 18, 0.182
119, 300, 19, 0.175
120, 300, 20, 0.165
121, 300, 21, 0.168
122, 300, 22, 0.192
123, 300, 23, 0.207
124, 300, 24, 0.157
125, 300, 25, 0.16
126, 300, 26, 0.169
127, 300, 27, 0.167
128, 300, 28, 0.175
129, 300, 29, 0.168
130, 300, 30, 0.206
131, 300, 31, 0.159
132, 300, 32, 0.166
133, 300, 33, 0.19
134, 300, 34, 0.164
135, 300, 35, 0.191
136, 300, 36, 0.175
137, 300, 37, 0.158
138, 300, 38, 0.166
139, 300, 39, 0.165
140, 300, 40, 0.158
141, 300, 41, 0.171
142, 300, 42, 0.168
143, 300, 43, 0.206
144, 300, 44, 0.173
145, 300, 45, 0.177
146, 300, 46, 0.163
147, 300, 47, 0.26
148, 300, 48, 0.542
149, 300, 49, 0.33
150, 300, 50, 0.306
151, 300, 51, 0.206
152, 300, 52, 0.172
153, 300, 53, 0.2
154, 300, 54, 0.205
155, 300, 55, 0.254
156, 300, 56, 0.2
157, 300, 57, 0.205
158, 300, 58, 0.203
159, 300, 59, 0.185
160, 300, 60, 0.2
161, 300, 61, 0.159
162, 300, 62, 0.194
163, 300, 63, 0.192
164, 300, 64, 0.191
165, 300, 65, 0.193
166, 300, 66, 0.188
167, 300, 67, 0.251
168, 300, 68, 0.264
169, 300, 69, 0.209
170, 300, 70, 0.166
171, 300, 71, 0.199
172, 300, 72, 0.171
173, 300, 73, 0.172
174, 300, 74, 0.204
175, 300, 75, 0.212
176, 300, 76, 0.367
177, 300, 77, 0.274
178, 300, 78, 0.229
179, 300, 79, 0.215
180, 300, 80, 0.213
181, 300, 81, 0.24
182, 300, 82, 0.225
183, 300, 83, 0.204
184, 300, 84, 0.227
185, 300, 85, 0.216
186, 300, 86, 0.182
187, 300, 87, 0.166
188, 300, 88, 0.162
189, 300, 89, 0.2
190, 300, 90, 0.174
191, 300, 91, 0.171
192, 300, 92, 0.158
193, 300, 93, 0.176
194, 300, 94, 0.184
195, 300, 95, 0.161
196, 300, 96, 0.189
197, 300, 97, 0.172
198, 300, 98, 0.163
199, 300, 99, 0.201
200, 500, 0, 0.915
201, 500, 1, 0.995
202, 500, 2, 0.944
203, 500, 3, 0.934
204, 500, 4, 0.8
205, 500, 5, 0.817
206, 500, 6, 0.801
207, 500, 7, 0.757
208, 500, 8, 0.898
209, 500, 9, 0.849
210, 500, 10, 0.752
211, 500, 11, 0.666
212, 500, 12, 0.744
213, 500, 13, 0.778
214, 500, 14, 0.703
215, 500, 15, 0.752
216, 500, 16, 0.753
217, 500, 17, 0.791
218, 500, 18, 0.717
219, 500, 19, 0.685
220, 500, 20, 1.035
